"Date","PM2.5 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"04/08/2019","39","","RIVER TERRACE","11-001-0041","AQS"
"04/09/2019","27","","RIVER TERRACE","11-001-0041","AQS"
"04/10/2019","33","","Near Road","11-001-0051","AQS"
"04/11/2019","21","","Near Road","11-001-0051","AQS"
"04/12/2019","31","","RIVER TERRACE","11-001-0041","AQS"
"04/13/2019","28","","Near Road","11-001-0051","AQS"
"04/14/2019","30","","King Greenleaf Rec Center","11-001-0053","AQS"
"04/15/2019","13","","Near Road","11-001-0051","AQS"
"04/16/2019","18","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/17/2019","24","","Near Road","11-001-0051","AQS"
"04/18/2019","42","","RIVER TERRACE","11-001-0041","AQS"
"04/19/2019","38","","RIVER TERRACE","11-001-0041","AQS"
"04/20/2019","19","","Near Road","11-001-0051","AQS"
"04/21/2019","13","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/22/2019","22","","Near Road","11-001-0051","AQS"
"04/23/2019","37","","Near Road","11-001-0051","AQS"
"04/24/2019","30","","Near Road","11-001-0051","AQS"
"04/25/2019","42","","Near Road","11-001-0051","AQS"
"04/26/2019","35","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/27/2019","18","","King Greenleaf Rec Center","11-001-0053","AQS"
"04/28/2019","18","","RIVER TERRACE","11-001-0041","AQS"
"04/29/2019","22","","Near Road","11-001-0051","AQS"
"04/30/2019","52","","RIVER TERRACE","11-001-0041","AQS"
"05/01/2019","44","","RIVER TERRACE","11-001-0041","AQS"
"05/02/2019","55","","RIVER TERRACE","11-001-0041","AQS"
"05/03/2019","54","","RIVER TERRACE","11-001-0041","AQS"
"05/04/2019","74","","RIVER TERRACE","11-001-0041","AQS"
"05/05/2019","36","","RIVER TERRACE","11-001-0041","AQS"
"05/06/2019","17","","King Greenleaf Rec Center","11-001-0053","AQS"
"05/07/2019","32","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/08/2019","44","","RIVER TERRACE","11-001-0041","AQS"
